company_name,company_status,company_status_date,search_url,company_search_status,company_found_name,,flag,flagging_reason,company_number
A & E Claims Ltd,Cancelled - Small PI,2017-03-03 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=A+&+E+Claims+Ltd,Not exact match,A LIMITED,,OK,,11790215
A & T Exchange Ltd,Cancelled - Small PI,2018-01-09 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=A+&+T+Exchange+Ltd,Not exact match,A LIMITED,,OK,,11790215
A & T Money Transfer Limited (applied to cancel),Cancelled - Small PI,2017-07-21 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=A+&+T+Money+Transfer+Limited+(applied+to+cancel),Not exact match,A LIMITED,,OK,,11790215
A I Investments Limited,Cancelled - Small PI,2012-11-29 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=A+I+Investments+Limited,Not exact match,MERCURY ONLINE CREDIT LTD.,,OK,,06960060
A K Money Transfer Ltd,Cancelled - Small PI,2013-04-12 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=A+K+Money+Transfer+Ltd,Not exact match,A K MONEY TRANSFER LIMITED,,OK,,07758260
A N Express Ltd,Authorised Payment Institution,2018-05-21 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=A+N+Express+Ltd,Not exact match,A N EXPRESS LIMITED,,Predicted Nationality,"Predicted nationality: ['russian', 'else'] (DIRECTORS LIMITED)",04778768
A Place in the Sun Currency (Services) Ltd,Cancelled - Authorised PI,2018-10-11 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=A+Place+in+the+Sun+Currency+(Services)+Ltd,Not exact match,AP DORMANT SERVICES LTD,,Company Ownership,"Company Ownership: Private Limited Company (Governing Law: Companies Act 2006), Company Ownership: Private Limited Company (Governing Law: Companies Act 2006)",10736065
A Place in the Sun Currency Limited,Authorised Payment Institution,2018-05-03 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=A+Place+in+the+Sun+Currency+Limited,OK,A PLACE IN THE SUN CURRENCY LIMITED,,Company Ownership,Company Ownership: Private Limited Company (Governing Law: Companies Act 2006),06586857
A Plus Payment Solutions Ltd,Authorised Electronic Money Institution,2020-11-25 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=A+Plus+Payment+Solutions+Ltd,OK,A PLUS PAYMENT SOLUTIONS LTD,,Orange,"Nationality: Latvian (NEBOLSINA, Margarita), Country of Residence: Latvia (NEBOLSINA, Margarita), Nationality: Latvian (KRASKO, Dmitrijs), Nationality: Latvian (Mrs Margarita Nebolsina), Country of Residence: Latvia (Mrs Margarita Nebolsina), Nationality: Latvian (Mr Dmitrijs Krasko), Nationality: Latvian (Mr Dmitrijs Krasko)",11815332
A Q Express,Cancelled - Small PI,2015-05-07 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=A+Q+Express,Not exact match,AQ EXPRESS LTD,,OK,,10613002
A R Exchange Limited,Small Payment Institution,2018-08-28 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=A+R+Exchange+Limited,OK,A R EXCHANGE LIMITED,,OK,,07976269
A to Z 4U Limited,Cancelled - Small PI,2012-09-13 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=A+to+Z+4U+Limited,Not exact match,A TO Z 4U LTD,,OK,,06268069
A to Z 4U Ltd,Authorised Payment Institution,2018-05-02 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=A+to+Z+4U+Ltd,OK,A TO Z 4U LTD,,OK,,06268069
A&B General (UK) Ltd,Authorised Payment Institution,2018-03-02 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=A&B+General+(UK)+Ltd,Not exact match,A LIMITED,,OK,,11790215
A-1 Forex Services Limited,Cancelled - Small PI,2012-09-06 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=A-1+Forex+Services+Limited,Not exact match,A-1 FOREX SERVICES LTD,,Company Ownership,Company Ownership: Limited (Governing Law: Companies Act 2006),06194805
A.S.F. (E1) Limited,Cancelled - Small PI,2014-01-29 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=A.S.F.+(E1)+Limited,Not exact match,A. S. F. (E1) LIMITED,,OK,,07749892
AAG Capital Markets Limited,Cancelled - Small PI,2013-10-07 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=AAG+Capital+Markets+Limited,OK,AAG CAPITAL MARKETS LIMITED,,OK,,08325149
AB Exchange (UK) Limited,Cancelled - Small PI,2016-09-06 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=AB+Exchange+(UK)+Limited,OK,AB EXCHANGE (UK) LIMITED,,OK,,07272766
ABDULLAH SHERZAD,Cancelled - Small PI,2023-03-13 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=ABDULLAH+SHERZAD,Not exact match,SHERZAD COMPANY LIMITED,,OK,,15223772
ABS-CBN Europe Remittance Limited,Cancelled - Authorised PI,2018-07-13 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=ABS-CBN+Europe+Remittance+Limited,OK,ABS-CBN EUROPE REMITTANCE LIMITED,,Company Ownership,Company Ownership: Private Limited Company (Governing Law: Companies Act 1985),07381764
ABS-CBN Europe Remittance Ltd,Cancelled - Small PI,2012-11-28 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=ABS-CBN+Europe+Remittance+Ltd,Not exact match,ABS-CBN EUROPE REMITTANCE LIMITED,,Company Ownership,Company Ownership: Private Limited Company (Governing Law: Companies Act 1985),07381764
ABU EXCHANGE LTD,Small Payment Institution,2019-11-26 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=ABU+EXCHANGE+LTD,OK,ABU EXCHANGE LTD,,OK,,11892157
ACCEPTY TECHNOLOGY LTD,Cancelled - RAISP,2024-05-08 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=ACCEPTY+TECHNOLOGY+LTD,OK,ACCEPTY TECHNOLOGY LTD,,OK,,11379154
AD FINANCIAL GROUP LTD,Authorised Electronic Money Institution,2020-02-22 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=AD+FINANCIAL+GROUP+LTD,OK,AD FINANCIAL GROUP LTD,,Red,"Nationality: Latvian (Mr Stanislavs Caikovskis), Nationality: Russian (Mr. Alexander Prusakov), Country of Residence: Russia (Mr. Alexander Prusakov), Nationality: Russian (Mr. Denis Persanov), Country of Residence: Russia (Mr. Denis Persanov)",11092839
AES Financial Services Ltd,Cancelled - Authorised PI,2023-02-03 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=AES+Financial+Services+Ltd,OK,AES FINANCIAL SERVICES LTD,,OK,,06063185
AF Payments Limited,Authorised Electronic Money Institution,2018-06-01 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=AF+Payments+Limited,OK,AF PAYMENTS LIMITED,,Orange,"Nationality: Cypriot (Mr Guy El Khoury), Company Ownership: Limited Company (Governing Law: Bvi Business Companies Act 2004)",09356276
AFG SARAFI LTD,Small Payment Institution,2019-11-29 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=AFG+SARAFI+LTD,OK,AFG SARAFI LTD,,OK,,11908161
AFRIKMONEY LTD,Small Payment Institution,2021-05-17 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=AFRIKMONEY+LTD,OK,AFRIKMONEY LTD,,OK,,12724375
AFTERBANKS LTD,Authorised Payment Institution,2020-02-22 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=AFTERBANKS+LTD,OK,AFTERBANKS LTD,,Company Ownership,Company Ownership: Limited Company (Governing Law: The Act On Corporations),11400091
AGN Money Corporation Limited,Small Payment Institution,2019-01-02 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=AGN+Money+Corporation+Limited,OK,AGN MONEY CORPORATION LIMITED,,Predicted Nationality,"Predicted nationality: ['ukrainian', 'russian', 'indian', 'greek'] (Nazmil GHANY), Predicted nationality: ['ukrainian', 'russian', 'indian', 'greek'] (Nazmil Ghany)",05091428
AGPAYTECH LTD.,Authorised Payment Institution,2018-04-26 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=AGPAYTECH+LTD.,OK,AGPAYTECH LTD.,,OK,,07952651
AIM Money Transfer Limited,PSD Revoked PI,2014-09-15 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=AIM+Money+Transfer+Limited,OK,AIM MONEY TRANSFER LIMITED,,OK,,06925322
AIRWALLEX (UK) LIMITED,Cancelled - Authorised EMI,,https://find-and-update.company-information.service.gov.uk/search?q=AIRWALLEX+(UK)+LIMITED,OK,AIRWALLEX (UK) LIMITED,,Orange,"Nationality: Polish (STACHOWIAK, Michael Szymon)",10103420
AJ Bell Management Limited,Authorised Payment Institution,2018-12-28 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=AJ+Bell+Management+Limited,OK,AJ BELL MANAGEMENT LIMITED,,Company Ownership,Company Ownership: Public Limited Company (Governing Law: England And Wales),03948391
AJB GLOBAL LTD,Small Payment Institution,2018-11-21 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=AJB+GLOBAL+LTD,OK,AJB GLOBAL LTD,,OK,,08820026
AK Travel Global Ltd,Cancelled - Small PI,2019-06-25 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=AK+Travel+Global+Ltd,OK,AK TRAVEL GLOBAL LTD,,OK,,06683112
AKHTAR ALI AKHTAR,Cancelled - Small PI,2013-10-07 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=AKHTAR+ALI+AKHTAR,Not exact match,ALI AKHTAR LTD,,OK,,15454874
AL-Noor Corporation Ltd,PSD Revoked PI,2014-08-14 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=AL-Noor+Corporation+Ltd,Not exact match,AL-NOOR CORPORATION LIMITED,,OK,,07945023
ALADDIN EXCHANGE LIMITED,Small Payment Institution,2019-12-27 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=ALADDIN+EXCHANGE+LIMITED,OK,ALADDIN EXCHANGE LIMITED,,OK,,11983007
ALGBRA GROUP LIMITED,Authorised Electronic Money Institution,2022-05-31 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=ALGBRA+GROUP+LIMITED,OK,ALGBRA GROUP LIMITED,,OK,,12629086
ALPHA FX LIMITED,Cancelled - Authorised PI,2018-08-02 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=ALPHA+FX+LIMITED,OK,ALPHA FX LIMITED,,Company Ownership,Company Ownership: Limited Company (Governing Law: Companies Act),05108142
ALT 21 LIMITED,Authorised Payment Institution,2020-04-20 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=ALT+21+LIMITED,OK,ALT 21 LIMITED,,OK,,10723112
ALTPAY Ltd,Small Electronic Money Institution,2018-10-26 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=ALTPAY+Ltd,OK,ALTPAY LTD,,Orange,"Nationality: Latvian (DOZORCEVS, Artjoms), Country of Residence: Latvia (DOZORCEVS, Artjoms), Nationality: Latvian (Artjoms Dozorcevs), Country of Residence: Latvia (Artjoms Dozorcevs)",11347482
ALWAKEEL INTERNATIONAL LTD,Small Payment Institution,2019-02-08 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=ALWAKEEL+INTERNATIONAL+LTD,OK,ALWAKEEL INTERNATIONAL LTD,,OK,,10794824
AM & Sons Money Exchange,Cancelled - Small PI,2012-01-05 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=AM+&+Sons+Money+Exchange,Not exact match,AM HOLDINGS LIMITED,,OK,,OE019966
AMINA EXCHANGE & TRAVEL LTD,Small Payment Institution,2018-10-09 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=AMINA+EXCHANGE+&+TRAVEL+LTD,OK,AMINA EXCHANGE & TRAVEL LTD,,OK,,10436252
AMO Money Transfer & Exchange Ltd,Small Payment Institution,2019-03-15 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=AMO+Money+Transfer+&+Exchange+Ltd,OK,AMO MONEY TRANSFER & EXCHANGE LTD,,OK,,11701441
ANDEVOUR LTD,PSD Revoked PI,2019-01-13 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=ANDEVOUR+LTD,OK,ANDEVOUR LTD,,OK,,07849512
ANGLO TECH SERVICES LTD,Small Payment Institution,2020-01-20 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=ANGLO+TECH+SERVICES+LTD,OK,ANGLO TECH SERVICES LTD,,OK,,12061940
ANU Express Ltd,PSD Revoked PI,2019-01-13 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=ANU+Express+Ltd,OK,ANU EXPRESS LTD,,OK,,07018767
ANZ Global Ltd,Cancelled - Small PI,2016-06-21 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=ANZ+Global+Ltd,OK,ANZ GLOBAL LTD,,OK,,15502376
APFIN LTD,Small Payment Institution,2019-04-08 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=APFIN+LTD,OK,APFIN LTD,,Red,Nationality: Russian (Mr Alexy Gogolev),07989136
APS Financial Ltd,Cancelled - Authorised EMI,2021-06-23 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=APS+Financial+Ltd,Not exact match,APS FINANCIAL LIMITED,,Company Ownership,Company Ownership: Limited By Shares (Governing Law: United Kingdom (England And Wales)),06029941
APS INTERNATIONAL LIMITED,Authorised Payment Institution,2018-06-01 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=APS+INTERNATIONAL+LIMITED,OK,APS INTERNATIONAL LIMITED,,OK,,06908056
AQORN Services Limited,Cancelled - Small PI,2013-10-24 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=AQORN+Services+Limited,OK,AQORN SERVICES LIMITED,,OK,,08135169
AR Worldwide Services Ltd,Small Payment Institution,2019-11-12 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=AR+Worldwide+Services+Ltd,OK,AR WORLDWIDE SERVICES LTD,,Company Ownership,Company Ownership: Limited Partnership (Governing Law: Limited Partnership),11801385
ARAFA LIMITED,Cancelled - Small PI,2013-12-16 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=ARAFA+LIMITED,OK,ARAFA LIMITED,,OK,,07691887
AREMKO PAYMENTS LTD,Small Payment Institution,2021-07-22 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=AREMKO+PAYMENTS+LTD,OK,AREMKO PAYMENTS LTD,,OK,,12601671
ARIE Capital Payment Solutions Limited,Cancelled - Small PI,2023-03-13 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=ARIE+Capital+Payment+Solutions+Limited,OK,ARIE CAPITAL PAYMENT SOLUTIONS LIMITED,,OK,,13062768
ARISE VENTURES LTD,Small Payment Institution,2018-10-31 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=ARISE+VENTURES+LTD,OK,ARISE VENTURES LTD,,OK,,08382487
ARMAN EXCHAGE LTD,Small Payment Institution,2020-08-28 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=ARMAN+EXCHAGE+LTD,Not exact match,SONU MONEY EXCHAGE AND TRAVEL AGENCY LTD,,OK,,07214345
AS Express Limited,Cancelled - Small PI,2013-10-03 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=AS+Express+Limited,Not exact match,AS EXPRESS LTD,,OK,,14042868
ASCENDANTFX CAPITAL UK Limited,Authorised Payment Institution,2019-07-09 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=ASCENDANTFX+CAPITAL+UK+Limited,OK,ASCENDANTFX CAPITAL UK LIMITED,,OK,,08271165
ASE Global Transfers Limited,PSD Revoked PI,2014-03-17 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=ASE+Global+Transfers+Limited,Not exact match,ASE GLOBAL TRANSFERS LTD,,Orange,"Nationality: Ukraine (SOKOLENKO, Oleg), Nationality: Ukranian (GRUSHKO, Svitlana), Nationality: Uzbek (SHAMSIEV, Aziz), Nationality: Ukraine (SOKOLENKO, Oleg)",06577885
ASEEL TRADING LTD,Small Payment Institution,2018-10-01 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=ASEEL+TRADING+LTD,OK,ASEEL TRADING LTD,,OK,,08604430
ASIABILL EU COMPANY LIMITED,Small Payment Institution,2020-05-18 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=ASIABILL+EU+COMPANY+LIMITED,OK,ASIABILL EU COMPANY LIMITED,,OK,,12092605
ASOS Payments UK Limited,Cancelled - Authorised EMI,2024-03-12 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=ASOS+Payments+UK+Limited,OK,ASOS PAYMENTS UK LIMITED,,Company Ownership,Company Ownership: Private Company Limited By Shares (Governing Law: Companies Act 2006),13337408
ASSURED PAY LTD,Small Payment Institution,2022-08-31 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=ASSURED+PAY+LTD,OK,ASSURED PAY LTD,,OK,,13076121
ATCO Money Exchange UK Limited,Cancelled - Small PI,2015-06-23 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=ATCO+Money+Exchange+UK+Limited,OK,ATCO MONEY EXCHANGE UK LIMITED,,OK,,06298162
AUTHORIPAY EMONEY LTD,Authorised Electronic Money Institution,2021-07-13 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=AUTHORIPAY+EMONEY+LTD,OK,AUTHORIPAY EMONEY LTD,,OK,,11869717
AUTOMATED PAYMENT TRANSFER LIMITED,Cancelled - Authorised PI,2019-08-12 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=AUTOMATED+PAYMENT+TRANSFER+LIMITED,Not exact match,SMARTERPAY SERVICES LIMITED,,Company Ownership,"Company Ownership: Limited Company (Governing Law: Companies Act 2006), Company Ownership: Limited Company (Governing Law: Companies Act 2006), Company Ownership: Limited Company (Governing Law: Companies Act 2006)",01328668
AY Money Transfer Ltd,Small Payment Institution,2018-02-05 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=AY+Money+Transfer+Ltd,OK,AY MONEY TRANSFER LTD,,OK,,08759411
AZIMO Limited,Cancelled - Small PI,2013-06-17 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=AZIMO+Limited,Not exact match,AZIMO LTD,,Orange,"Nationality: Israeli (GUEZ, Eynat Sandrin), Country of Residence: Israel (GUEZ, Eynat Sandrin), Nationality: Israeli (BIRON, Gur), Country of Residence: Israel (BIRON, Gur), Nationality: Polish (BOGACZYK, Maciej Dariusz), Country of Residence: Poland (BOGACZYK, Maciej Dariusz), Nationality: Polish (JANIK, Sylwester), Country of Residence: Poland (JANIK, Sylwester), Company Ownership: Limited By Shares (Governing Law: United Kingdom (England And Wales))",07895399
AZIZI EXCHANGE LIMITED,Small Payment Institution,2019-09-04 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=AZIZI+EXCHANGE+LIMITED,OK,AZIZI EXCHANGE LIMITED,,OK,,11815990
Abacus Transfers Limited,PSD Revoked PI,2014-07-24 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Abacus+Transfers+Limited,OK,ABACUS TRANSFERS LIMITED,,OK,,07118776
Abdali Xchange Ltd,Small Payment Institution,2021-07-19 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Abdali+Xchange+Ltd,OK,ABDALI XCHANGE LTD,,OK,,12659038
Abdul Azees Rosmeen,Cancelled - Small PI,2012-08-09 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Abdul+Azees+Rosmeen,Not exact match,NAZAR ABDUL AZEES LTD,,Predicted Nationality,"Predicted nationality: ['pakistani', 'ukrainian'] (Nazar Azees)",14773361
Abdul Aziz,Cancelled - Small PI,2013-09-12 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Abdul+Aziz,OK,ABDUL AZIZ LTD,,OK,,04173401
Abdul Aziz Mohammadi,PSD Revoked PI,2011-10-27 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Abdul+Aziz+Mohammadi,Not exact match,ABDUL AZIZ LTD,,OK,,04173401
Abdul Kahhar,Cancelled - Small PI,2012-12-10 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Abdul+Kahhar,Not exact match,ABDULRAMAN.M.S. LIMITED,,OK,,OE012557
Abdul Kaiyoom Mohamed-Haniffa,PSD Revoked PI,2019-01-13 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Abdul+Kaiyoom+Mohamed-Haniffa,Not exact match,ABDULRAMAN.M.S. LIMITED,,OK,,OE012557
Abdul Majeed,Cancelled - Small PI,2013-08-05 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Abdul+Majeed,OK,ABDUL MAJEED89 LIMITED,,OK,,15318032
Abdul Rashid Tarafder,Cancelled - Small PI,2014-01-16 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Abdul+Rashid+Tarafder,Not exact match,TARAFDER & CO LOGISTICS UK LIMITED,,Predicted Nationality,"Predicted nationality: ['indian', 'ukrainian', 'else'] (Sumyya AZIZA)",12276692
Abex Transfers Ltd,Cancelled - Small PI,2012-02-10 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Abex+Transfers+Ltd,Not exact match,ABEX TRANSFERS LIMITED,,OK,,06205304
Abid Hussain,PSD Revoked PI,2015-06-10 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Abid+Hussain,OK,ABID HUSSAIN LTD,,OK,,15434012
Abul Kalam Sheikh,Cancelled - Small PI,2014-03-27 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Abul+Kalam+Sheikh,Not exact match,ABUL KALAM LIMITED,,OK,,10525005
Abwab Global Limited,Small Payment Institution,2018-04-20 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Abwab+Global+Limited,OK,ABWAB GLOBAL LIMITED,,OK,,06747189
Abyssinia Trading Limited,Cancelled - Small PI,2013-04-23 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Abyssinia+Trading+Limited,OK,ABYSSINIA TRADING LIMITED,,OK,,07474412
AccendoFX Limited,Cancelled - Small PI,2019-01-10 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=AccendoFX+Limited,OK,ACCENDOFX LIMITED,,OK,,09269365
Acceptacard Limited,Small Payment Institution,2018-09-14 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Acceptacard+Limited,OK,ACCEPTACARD LIMITED,,OK,,06910204
Access Bureau,Cancelled - Small PI,2013-11-22 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Access+Bureau,OK,ACCESS BUREAU LIMITED,,OK,,08311059
Access Finance Limited,Small Payment Institution,2019-02-11 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Access+Finance+Limited,OK,ACCESS FINANCE LIMITED,,Company Ownership,Company Ownership: Limited Company (Governing Law: Mauritius),11037535
Access Paysuite Ltd,Authorised Payment Institution,2018-04-23 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Access+Paysuite+Ltd,OK,ACCESS PAYSUITE LTD,,Company Ownership,"Company Ownership: Private Limited Company (Governing Law: Companies Act 2006), Company Ownership: Private Limited Company (Governing Law: Companies Act 2006), Company Ownership: Private Limited Company (Governing Law: Companies Act 2006)",04595169
Access and Inform Limited,Cancelled - Small PI,2013-05-10 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Access+and+Inform+Limited,OK,ACCESS AND INFORM LIMITED,,OK,,SC268330
Accordcard Ltd,Cancelled - Small PI,2013-03-14 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Accordcard+Ltd,OK,ACCORDCARD LTD.,,OK,,07838989
Ace Shipping & Travels Ltd,Cancelled - Small PI,2013-09-06 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Ace+Shipping+&+Travels+Ltd,Not exact match,ACE SHIPPING LIMITED,,OK,,05500795
Ace Union Limited,Authorised Electronic Money Institution,2018-05-03 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Ace+Union+Limited,OK,ACE UNION LIMITED,,Company Ownership,Company Ownership: Private Limited Company (Governing Law: Companies Act 2006),09530233
Acetem UK Ltd,PSD Revoked PI,2018-12-13 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Acetem+UK+Ltd,Not exact match,ACETEM UK LIMITED,,OK,,06826838
Acquired Limited,Authorised Payment Institution,2019-12-17 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Acquired+Limited,OK,ACQUIRED LIMITED,,Predicted Nationality,"Predicted nationality: ['russian', 'ukrainian', 'else', 'hungarian', 'british'] (Kate CLEAVELY), Predicted nationality: ['russian', 'ukrainian', 'else', 'hungarian', 'british'] (Kate Cleavely)",09660317
Adale Dawit Dagnachew (ADD) Ltd,Small Payment Institution,2021-12-13 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Adale+Dawit+Dagnachew+(ADD)+Ltd,OK,ADALE DAWIT DAGNACHEW (ADD) LTD,,OK,,12005108
Adelante Software Ltd,Cancelled - Small PI,2024-05-09 00:00:00,https://find-and-update.company-information.service.gov.uk/search?q=Adelante+Software+Ltd,OK,ADELANTE SOFTWARE LTD,,Company Ownership,"Company Ownership: Private Limited Company (Governing Law: United Kingdom (England And Wales)), Company Ownership: Private Limited Company (Governing Law: Companies Act 2006)",04450760
